depth[m]  KN[Ohmm]  SB[Ohmm]  OK[Ohmm]  UK[Ohmm]
   0.75   1972.92   2141.31   2767.11   1555.72
   0.95   1621.06   2752.04   2028.21   3543.72
   1.15   1396.44   2513.27   1329.52   3795.04
   1.35    870.22   2241.84   1213.91   3337.63
   1.55    741.42   1872.39   1759.29   1957.84
   1.75   1201.66   1499.17   1611.01   1422.51
   1.95   1035.15   1501.68   1153.59   1884.96
   2.15    827.81   1321.98   1123.43   1548.18
   2.35    675.44   1339.58   1347.11   1357.17
   2.55    879.65   1360.94   1590.90   1158.62
   2.75    978.61   1416.23   1714.05   1141.03
   2.95   1091.70   1295.59   1070.65   1548.18
   3.15    884.36   1285.54    794.19   1802.02
   3.35    521.50   1265.43    950.02   1600.96
   3.55    703.72   1000.28   1078.19    939.96
   3.75    662.88    942.48    952.53    950.02
   3.95    728.85    952.53    917.35   1002.80
   4.15    714.71    799.22    635.86    980.18
   4.35    606.33    671.04    151.80   1206.37
   4.55    493.23    647.17     49.76   1259.15
   4.75    120.32    299.08     77.16    480.04
   4.95     73.98     93.24     36.49    150.55
   5.15    128.65     54.16     59.06     49.01
   5.35    147.18    107.19    107.07    107.32
   5.55     89.85     56.17     77.41     34.93
   5.75    179.54     50.64     61.32     40.31
   5.95    158.96     63.71     54.79     73.89
   6.15     46.18    142.63    223.18     64.59
   6.35    198.39    418.46    799.22     38.63
   6.55    461.81    628.32   1213.91     46.55
   6.75    582.77   1102.07   1897.52    313.41
   6.95    837.23   1621.06   2772.14    481.79
   7.15   1088.56   1686.41   2576.11    814.30
   7.35   1000.60   1884.96   2468.04   1321.98
   7.55   1148.25   2003.08   2814.87   2814.87
   7.75   1275.49   1784.42   1950.30   1623.58
   7.95   1113.69   1776.88   1656.25   1902.55
   8.15    807.39   1835.95   1374.76   2282.05
   8.35    772.83   1853.54   2533.38   1183.75
   8.55   1044.58   2004.34   3023.47    997.77
   8.75   1269.20   1864.85   2249.38   1497.91
   8.95   1251.92   1643.68   1553.20   1761.81
   9.15   1148.25   1401.15    628.32      0.00
